BUSMASTER Ver 3.2.2,,,,,,
PROTOCOL CAN,,,,,,
NOTE: PLEASE DO NOT EDIT THIS DOCUMENT,,,,,,
[START LOGGING SESSION],,,,,,
START DATE AND TIME 15:1:2019 13:13:26:24,,,,,,
END DATE AND TIME 23:1:2019 14:47:40:625,,,,,,
SYSTEM MODE,,,,,,
START CHANNEL BAUD RATE,,,,,,
CHANNEL 1 - Kvaser - Kvaser Leaf Light v2 #0 (Channel 0), Serial Number- 0, Firmware- 0x00000187 0x00040004 - 250000 bps,,,,
END CHANNEL BAUD RATE,,,,,,
START DATABASE FILES,,,,,,
END DATABASE FILES,,,,,,
<Time>,<Tx/Rx>,<Channel>,<CAN ID>,<Type>,<DLC>,<DataBytes>
13:13:26:9832,Rx,1,0x5601069,x,8,C1 F7 EF FF 24 00 88 C0 
13:13:26:9882,Rx,1,0x5601069,x,8,C0 F7 EF FF 24 00 88 C0 
13:13:26:9932,Rx,1,0x5601069,x,8,C0 F7 EF FF 23 00 88 C0 
13:13:27:0002,Rx,1,0x5601069,x,8,C0 F7 EF FF 23 00 88 C0 
13:13:27:0042,Rx,1,0x5601069,x,8,C0 F7 EF FF 23 00 88 C0 
13:13:27:0092,Rx,1,0x5601069,x,8,C0 F7 EF FF 22 00 88 C0 
13:13:27:0142,Rx,1,0x5601069,x,8,C0 F7 EF FF 22 00 88 C0 
13:13:27:0192,Rx,1,0x5601069,x,8,BF F7 EF FF 22 00 88 C0 
13:13:27:0242,Rx,1,0x5601069,x,8,BF F7 EF FF 21 00 88 C0 
13:13:27:0292,Rx,1,0x5601069,x,8,BF F7 EF FF 21 00 88 C0 
13:13:27:0342,Rx,1,0x5601069,x,8,BE F7 FB FF 37 00 88 C0 
13:13:27:0392,Rx,1,0x5601069,x,8,BE F7 FA FF 36 00 88 C0 
13:13:27:0442,Rx,1,0x5601069,x,8,BE F7 FA FF 36 00 88 C0 
13:13:27:0492,Rx,1,0x5601069,x,8,BE F7 F9 FF 35 00 88 C0 
